name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
"Khách Sạn Phương Nam - Long Xuyên, An Giang","75 Trần Hưng Đạo, P. Mỹ Bình, Thành phố Long Xuyên, An Giang, Việt Nam","4,1",410,10.3892693,105.142584,An Giang,Khách sạn 1 sao,493.013 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, ","https://lh5.googleusercontent.com/p/AF1QipNXbN_IxI51e_88r3yGlpbIaSJVfIanwwioFGsZ, https://lh5.googleusercontent.com/p/AF1QipODRs92zVAhCdH4lXWopoCRt74pmvsfrGKUsDa2, https://lh5.googleusercontent.com/p/AF1QipPQHcppQtmsiHbDWPOvEvulnTkxpPUrHlFnd9v4, https://lh5.googleusercontent.com/p/AF1QipP42KqqBUbx8aQR_wnGLKEynQm0hz90PRyxx_pq, "
Ha Long Hotel,"M3JM+QHG Vòng, P. Núi Sam, Châu Đốc, An Giang, Việt Nam","3,7",219,10.6819458,104.795565,An Giang,Khách sạn 3 sao,731.480 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipMuT_nS1WbFPcJYl81loFNQyfKUqAsMFm8NKMg2, https://lh5.googleusercontent.com/p/AF1QipPjWElqasRWxThPoUbkOKnskBz8PIpFk170FIZ_, https://lh5.googleusercontent.com/p/AF1QipPQS79drIUienDopsVnGttofKKsOk22q534ulCg, https://lh5.googleusercontent.com/p/AF1QipOVIawzSCHEGJO0yz66T2nY-mh5_rnlUW6uIUeG, "
Khách sạn Hòa Bình 2,"08 Đ. Lê Hồng Phong, P. Mỹ Bình, Thành phố Long Xuyên, An Giang 90000, Việt Nam","3,8",717,10.389301,105.1444954,An Giang,Khách sạn 2 sao,658.060 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipPIrcr8jMZ0C1Ab77mUIkt5g4sxigMYXnoz-dud, https://lh5.googleusercontent.com/p/AF1QipP8lMAo8C9aI_WB9VY1fNiZsrhSGtutbLOVHMO4, https://lh5.googleusercontent.com/p/AF1QipN9tS1p1ZvRbFMpl-tseLEDB8ULhujxaTnqgybq, https://lh5.googleusercontent.com/p/AF1QipPCkpe6EKtq7vhv9YSIDZoeczPl-kigc-fStRLy, "
Nhà Nghỉ Minh Kim,"622 Tôn Đức Thắng, Vĩnh Mỹ, Châu Đốc, An Giang, Việt Nam","4,2",246,10.6977893,104.8489926,An Giang,Khách sạn,239.686 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, ","https://lh5.googleusercontent.com/p/AF1QipPY2XbW1iHV7QXqCQRlF7XQORGO1dUI7ntGjDEg, https://lh5.googleusercontent.com/p/AF1QipPVoH5j9xbvAj8joKUtm8FaVHY98ymDOymlf5r9, https://lh5.googleusercontent.com/p/AF1QipO6KC8r05wUhWNKqupTrPhIiD8QZRjriz5dnO8V, https://lh5.googleusercontent.com/p/AF1QipMOtYJ4JayjyFJBsIIh__XPF8cBt7LAbv5lPmZ4, "
Resort Núi Cấm,"An Hòa, Tịnh Biên, An Giang, Việt Nam","4,3",19,10.4952834,104.7267508,An Giang,Khách sạn,1.125.767 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipMbAPG7nPrGZ_BUPPQvkNQiLFN3dTEAEGkvzdoD, https://lh5.googleusercontent.com/p/AF1QipOkkMYpllOcdLIDNq6qsns3h0iW5SKWHV2FzP7V, https://lh5.googleusercontent.com/p/AF1QipNuwZ8rxsZw7Bmd0fOOrBREC6lHI5PQKpAwscVH, https://lh5.googleusercontent.com/p/AF1QipNv6jNh0sFdZgB9AY-WA3qibA6uSotw_iE75fhA, "
Khách sạn Sao Mai,"199 Đường Quản Cơ Thành, p. Bình Khánh, Thành phố Long Xuyên, An Giang, Việt Nam","4,2",223,10.3946526,105.1408015,An Giang,Khách sạn 2 sao,370.285 ₫,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipOQ0LN_Qyi9vr6pnadrNODl3XWhNIiLD4r048Pl, https://lh5.googleusercontent.com/p/AF1QipOhi4rBqtGo2-U1gIMjqx0XPs5AGi4lrbkzAmbL, https://lh5.googleusercontent.com/p/AF1QipMcWQSKkXsaje8G26GubIu4OmxT0xazkYgrDPcn, https://lh5.googleusercontent.com/p/AF1QipNwy375RMjcGw3J82fQoXh4Yk4JuUJsBuE6g-vW, "
Khách sạn Đăng Khoa 2,"Số 79 Tân Lộ Kiều Lương, Châu Phú A, Châu Đốc, An Giang 90500, Việt Nam","4,2",111,10.6823206,104.7945769,An Giang,Khách sạn,498.607 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNaKsvDe4Mt_uQSnnD8_Sd_fGOegvdGW7xLFbD2, https://lh5.googleusercontent.com/p/AF1QipNtJjgwKrRRw17FaIc-nZiIpyeQekNsixzx94ci, https://lh5.googleusercontent.com/p/AF1QipPaDCR05AMUXdqF7O-bnaA2Dx7e9LWTe1zKWVTm, https://lh5.googleusercontent.com/p/AF1QipN7ZPvYiKxiw5CHgOicIZQVwou-v7csyNJviUoS, "
Khách Sạn Hoàng Đức,"M4W2+J87, Tân Lộ Kiều Lương, Châu Phú A, Châu Đốc, An Giang, Việt Nam","3,7",236,10.6965363,104.8123956,An Giang,Khách sạn 3 sao,1.385.468 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipNYTNML7teq7tq8ZD35uyBEjMsa0rcrvNl8dEeK, https://lh5.googleusercontent.com/p/AF1QipPoLANAIjNYmi0EkkcOql-hL0H8H3IkkB4EwOP6, https://lh5.googleusercontent.com/p/AF1QipN6WEiDnkdSI4cylrTxuXaFHtVbIY8Xd690P_nP, https://lh5.googleusercontent.com/p/AF1QipNcZ3fxo4Ykbg2iFi7Ibc5YhmpMyXki-qBHJLNV, "
Lệ Hằng hotel,"20 Lý Thái Tổ, Mỹ Long, Thành phố Long Xuyên, An Giang, Việt Nam","3,5",193,10.3806342,105.1583416,An Giang,Khách sạn,294.355 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipMzF0z__f6Q2fcq6mQntMuk9CB6JbhDOXpOtNKY, https://lh5.googleusercontent.com/p/AF1QipN1iMg3RJruRATvzKCDmV4LE-a_MBlCGEGVdtn-, https://lh5.googleusercontent.com/p/AF1QipOPgKeNvz1SkqYL96QwkTtT5SGc_Vih3p9MWavU, https://lh5.googleusercontent.com/p/AF1QipMQfiaUCxr31ILDYtBeTwFeN3npfiF9vd9dQiId, "
Motel Cason,"470 Hoàng Diệu, Châu Phú B, Châu Đốc, An Giang, Việt Nam","3,4",8,10.6970168,104.8349084,An Giang,Khách sạn,253.334 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNzFEwkolU7EiImy8bY-OpAuO8vI-47t4stusU1, https://lh5.googleusercontent.com/p/AF1QipNsJjcbEVeWpvKsi-uu7uBBZS0J7tM1U9INLWji, https://lh5.googleusercontent.com/p/AF1QipNzFEwkolU7EiImy8bY-OpAuO8vI-47t4stusU1, https://lh5.googleusercontent.com/p/AF1QipOSqkdTOt4cbQPr22dZYE0Qb2toJrxKAwRnLhnG, "
