name,score,category,price,address,province,review count,description images
đồi Thiên An,4.6,Đỉnh núi,Không có giá,"Thủy Bằng, Tx. Hương Thủy, Thừa Thiên Huế",Thừa Thiên Huế,202,"https://lh3.googleusercontent.com/p/AF1QipNC4hNOAViUD9SU2Ou54aTS2DdoyqU_9NPSUkbg, https://lh3.googleusercontent.com/p/AF1QipMDsF2xep3FHeGyt1YjrX-kHeHqVq33qyvHjDle, "
Thành phố Huế,Chưa xét,Tổ dân phố,Không có giá,"Huế, Thừa Thiên Huế",Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipNwVjZ7Ovozdpryvb5qHKhlZnC_HgMQY0umytqY, https://lh3.googleusercontent.com/p/AF1QipM7xjZEX4zZphpJ1TvEz0NIm02Ue6g8ul4mYYOl, "
tt. Lăng Cô,Chưa xét,Khu dân cư,Không có giá,"Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipOYI6UjThO9Ihd9yaUd4T9jns521uXGmJtlN0f-, https://lh3.googleusercontent.com/p/AF1QipNsDMFoiXl7yKz0-FkBv8GxvA7xRUVX9Q9wX6_V, "
Đèo Hải Vân,4.7,Đường vượt núi,Không có giá,"tt. Lăng Cô, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,1.815,"https://lh3.googleusercontent.com/p/AF1QipNV2GpFcxr2Gywb-CqO5u9ScpF89bh8YUrN5uY, https://lh3.googleusercontent.com/p/AF1QipNzS1ojNdib96e_JXtFtcthmRmjIMpPD9qXoohI, "
Hồ Tịnh Tâm,4.4,Điểm mốc lịch sử,Không có giá,"FHHG+5MW, Cầu Hồng Cừ, Thuận Thành, Huế, Thừa Thiên Huế",Thừa Thiên Huế,89,"https://lh3.googleusercontent.com/p/AF1QipOAhza32KBoIMciaw0ogGDiVnXTmKbWUI6iEklk, https://lh3.googleusercontent.com/p/AF1QipODZ2DVVnkhMGaSV00taGUXb-Vnx-z5mXOsqArF, "
Chùa Thiền Lâm - Theravada,4.8,Chùa phật giáo,Không có giá,"CHQG+74H, Thủy Xuân, Huế, Thừa Thiên Huế",Thừa Thiên Huế,63,"https://lh3.googleusercontent.com/p/AF1QipOAhza32KBoIMciaw0ogGDiVnXTmKbWUI6iEklk, https://lh3.googleusercontent.com/p/AF1QipODZ2DVVnkhMGaSV00taGUXb-Vnx-z5mXOsqArF, "
Phố tây Huế,4.4,Điểm thu hút khách du lịch,Không có giá,"29 Chu Văn An, Phú Hội, Huế, Thừa Thiên Huế",Thừa Thiên Huế,273,"https://lh3.googleusercontent.com/p/AF1QipO7IDUTsnWWb1YTnNopPElsr6KVvl043V47KLkc, https://lh3.googleusercontent.com/p/AF1QipP690ThFVmiz69IsQT-tQHECVFNHggAzfKGmT8D, "
Chùa Báo Quốc,4.4,Chùa phật giáo,Không có giá,"17 Bảo Quốc, Phường Đúc, Huế, Thừa Thiên Huế",Thừa Thiên Huế,195,"https://lh3.googleusercontent.com/p/AF1QipM-9Zo40HyAZRNMDurlD4PnwA76LcATUFEYDcmP, https://lh3.googleusercontent.com/p/AF1QipPJDimrp0_AooHD7pvluLllnPBPoAHFRxL5pdXM, "
Chùa Từ Hiếu,4.8,Chùa phật giáo,Miễn phí,"CHP9+HVR Duong Xuan Thuong III village, Thủy Xuân, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.382,"https://lh3.googleusercontent.com/p/AF1QipMTBs8dgmiITQ6Wg4n-vCTIM6f4-FvujylY6wPb, https://lh3.googleusercontent.com/p/AF1QipMxX6vCpKdcVUq832VREoLCvUgzkwcbQ1ECPXYN, "
Cầu Đi Bộ Gỗ Lim,Chưa xét,Tuyến đường,Không có giá,"Vĩnh Ninh, Tp. Huế, Thừa Thiên Huế",Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipPpxc62OuL9qOs-zrtVViLGn4WmQoJYkLJLwq5I, https://lh3.googleusercontent.com/p/AF1QipNKniE4q0-dvyzR-3abieekLmXb-YEZL2GP1q9U, "
Hồ Truồi,4.4,Hồ chứa nước,Không có giá,"Lộc Điền, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,36,"https://lh3.googleusercontent.com/p/AF1QipNaHOZobiyPPfPCkdzHHAoKvRo3RRUxcF-DdkMN, https://lh3.googleusercontent.com/p/AF1QipMkqaADn7CnZPaYyIb7mf_SqGx3GrgmoHYUe93m, "
Phố đi bộ Nguyễn Đình Chiểu,4.5,Điểm thu hút khách du lịch,Không có giá,"Nguyễn Đình Chiểu, Phú Hội, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.338,"https://lh3.googleusercontent.com/p/AF1QipOD2b96PhXvhM_mfXLx_RNO4HD8340SZOUutoq1, https://lh3.googleusercontent.com/p/AF1QipNvqnRaZxk9y39nCKsaiUx6uhQcrDqrs60c61s4, "
Phú Hội,Chưa xét,Khu dân cư,Không có giá,"Tp. Huế, Thừa Thiên Huế",Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipNtDAXAGXqqURRLzQwpQOw-CTZUOG9oEa4OmPvF, https://lh3.googleusercontent.com/p/AF1QipPeP9xtR671UT4VhtN60wS3dGp9hepRuLTqG5oO, "
Vịnh Lăng Cô,4.5,Thắng cảnh,Miễn phí,"An Cư Đông, TT. Lăng Cô, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,863,"https://lh3.googleusercontent.com/p/AF1QipOZMRVup1myOcxwV25qSNj-Aj2teGimDMYnlOil, https://lh3.googleusercontent.com/p/AF1QipNfj7puqsgMfMQmzBqgBrYvjkD-82QgeV06Nb3-, "
