id,name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
12,Khách sạn Radisson Đà Nẵng,"170 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,7",1.968,16.0739298,108.2086911,Đà Nẵng,Khách sạn 5 sao,1.721.608 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNmNtaO-VMacuWSWy0vriSIoPB-GFemm7h-CUtA, https://lh5.googleusercontent.com/p/AF1QipN8_tcnG8GFktBz_tJ0d6yJxqIRTS_Jtjc7s4O0, https://lh5.googleusercontent.com/p/AF1QipPPWrZHUYl4aWnFsEh779nqncieCh5RBVJbMsv3, https://lh5.googleusercontent.com/p/AF1QipNOlVU-f5gzAZTtx9zvSYKlTAuuyP50-a0As5wt, "
13,Santa Luxury Hotel,"09 Đ. Đỗ Bá, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",682,16.0517799,108.2107073,Đà Nẵng,Khách sạn 4 sao,635.519 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipOffoRSi2c9rzkIqxwiDcqN0NrmcNVLlPV28G9m, https://lh5.googleusercontent.com/p/AF1QipPytygf1A-N1LfI3MkO5A14Q4xCc97u-3GXU7GA, https://lh5.googleusercontent.com/p/AF1QipNPh3FsRGmGP6u8v6HdzKjH8UzRnCyygxEf4szW, https://lh5.googleusercontent.com/p/AF1QipPSA8npgHXbdl3r_ZXkiOv2pcQaWDArOoUU6WmX, "
14,Meliá Vinpearl Danang Riverfront,"341 Đ. Trần Hưng Đạo, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,9",7.982,16.0517799,108.1798083,Đà Nẵng,Khách sạn 5 sao,2.024.881 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi trong nhà và ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipOAgELar27S0bWD0wFRz_QsIBJh2rt-3pCMozti, https://lh5.googleusercontent.com/p/AF1QipOAQ8PI2AblgM3VPFA78ku1Yb5eCtrAwRqgzE1B, https://lh5.googleusercontent.com/p/AF1QipOdlmUXmbC6oiWlQWO-BwObkYZicbw3GAI1s3eI, https://lh5.googleusercontent.com/p/AF1QipNy2W-BIbnbkupN31KKeh-NvUSUpZfDqi_aSaNI, "
15,Alani Hotel & Spa,"136-138 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",233,16.0541826,108.2100602,Đà Nẵng,Khách sạn 4 sao,572.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMV2tscB2_cIuhLQY4N4gFP2lJvGfyd-7LEglOr, https://lh5.googleusercontent.com/p/AF1QipNr-6mXLWpTsQ-l1s8JfCIqnlLRdbDZr2V8qUx2, https://lh5.googleusercontent.com/p/AF1QipOawQl5nA5pzk7-XcYI7GgQ0LCOTx5Fvy_pv9en, https://lh5.googleusercontent.com/p/AF1QipMS8yAa7P1V-B5XYf4kBcSmMDVHKLcTbHIDHaAt, "
16,Voco Ma Belle Danang,"168 Võ Nguyên Giáp, Street, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",610,16.0743303,108.2086479,Đà Nẵng,Khách sạn,2.003.723 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Trung tâm thể dục, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipOWKUdlK9l8jvz3haGkFtb3WJfIJCacgEZpsM7M, https://lh5.googleusercontent.com/p/AF1QipPS8V9jJ5SLsZxikmPn2sfYJig9e70xYCyH_NNH, https://lh5.googleusercontent.com/p/AF1QipOHK6KANU6IDSdSb6Piysut2hC7-Hbcn3JkwCPn, https://lh5.googleusercontent.com/p/AF1QipMif32nuoOfMJcnYUA8GfX7y1vqHyhCFOUpH4h-, "
17,Tuong Van Hotel Đà Nẵng,"53 An Thượng 2, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 55000, Việt Nam","4,5",12,16.0485394,108.211517,Đà Nẵng,Khách sạn,824.420 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipODeQpaLlBqorup0xnebe2ZvDoBhFsb_jOvmnE, https://lh5.googleusercontent.com/p/AF1QipPQUSh4sNiXO4Q0djKJBcxfV2kEPCVislhweS4, https://lh5.googleusercontent.com/p/AF1QipOBaDV6Fss-ptG_yk53GvkAT5FUCD0NnVok8vop, https://lh5.googleusercontent.com/p/AF1QipNfhWPdYKbm6iDJr-GF3fBL13HamE2wntD52Pec, "
18,Khách sạn Lavencos biển Mỹ Khê Đà Nẵng,"362 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",278,16.04372,108.2115483,Đà Nẵng,Khách sạn,465.103 ₫,Ít hơn 25% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipM_JzJ6MVVYvx7VFlbp5QVe4rYBMHaAJw7uh_7K, https://lh5.googleusercontent.com/p/AF1QipObyYv3OuMek72qePCNzcD4Ct_B78Et4_sFO1Gf, https://lh5.googleusercontent.com/p/AF1QipN0q4vAz_IxLPr5iUI3bmmg0yK2ndfxp8ksw1u3, https://lh5.googleusercontent.com/p/AF1QipOQgir98ZFDN_ttWZGp9NmSuSVEPgenydoMlsO9, "
19,Bonny Boutique Hotel Da Nang,"01-03 Khuê Mỹ Đông 10, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",245,16.0376551,108.2099545,Đà Nẵng,Khách sạn,697.389 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN7C7-179_GY_gUp1t8bkRWZus-E6XrMP9ZscHa, https://lh5.googleusercontent.com/p/AF1QipOoGCIuYN3mGZ3B-vq6p22aeCimrShZv_pZoio6, https://lh5.googleusercontent.com/p/AF1QipM29Ke_A9y-yR_diF-ivjFqzojgrKt_EVYfc8Su, https://lh5.googleusercontent.com/p/AF1QipNXOskgDS8yN_3a7EJyJzOkWG5LW-8QSHVbM_FM, "
20,Dương Gia Hotel Đà Nẵng,"8 Phạm Thiều, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",331,16.0720678,108.2052982,Đà Nẵng,Khách sạn 3 sao,274.250 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Bếp ở một số phòng, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMdMpsTDGuPhPsy15HMfSE2iiM_gFUjnCW2G0M0, https://lh5.googleusercontent.com/p/AF1QipOriKSiG1H4Cpsdlu-HjbloZd9vTMp9IOmfHZJm, https://lh5.googleusercontent.com/p/AF1QipOHAou316lHPixXzRq2bLq4lI865PfYIOo2ZtKy, https://lh5.googleusercontent.com/p/AF1QipNdGwjAbnxrimgEgnwJHr8Cf0XECsShotsLDOdk, "
21,Hyatt Regency Danang Resort and Spa,"5 Trường Sa, Street, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",4.684,16.0130143,108.2281489,Đà Nẵng,Khách sạn 5 sao,3.938.185 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipOO-GYkZLXUYLQBz8_WjrIUDNEFzyTPjnJB3v0o, https://lh5.googleusercontent.com/p/AF1QipO1I9sfePCOrymho_0jV2UAx2x25ByU9W-otu6F, https://lh5.googleusercontent.com/p/AF1QipMueKVTqBgzptQr5yeywv1GqikEIB2BWulIZz_-, https://lh5.googleusercontent.com/p/AF1QipM1Mk6PLUuLC5vdAbKANHvKIKbu-jSDszi-0pbg, "
