hotel,price,score,avg review,reviews count,province
Hanoi City Backpackers Hostel,VND 298.500,"Đạt điểm 8,5",Rất tốt,2.275,Hà Nội
Tung Trang Hotel,VND 1.117.600,"Đạt điểm 8,5",Rất tốt,955,Hà Nội
Perfume's Cozy House,VND 880.000,"Đạt điểm 8,5",Rất tốt,439,Hà Nội
Lotus Inn West Lake,VND 950.400,"Đạt điểm 7,8",Tốt,365,Hà Nội
Huong’s Family homestay,VND 760.000,"Đạt điểm 8,8",Tuyệt vời,101,Hà Nội
HANZ Ami Hotel 30 Hang Cot Old Quarter,VND 918.604,Đạt điểm 10,Xuất sắc,4,Hà Nội
22Housing luxury Hotel & Residence 39 Linh Lang,VND 1.134.000,"Đạt điểm 8,0",Rất tốt,317,Hà Nội
Hanoi B Hotel & Travel - 5 mins Hoan Kiem lake,VND 1.124.550,"Đạt điểm 7,8",Tốt,195,Hà Nội
Label6 Coliving Quang Khanh,VND 1.350.000,"Đạt điểm 9,0",Tuyệt hảo,77,Hà Nội
Hanoi Delight House,VND 630.990,"Đạt điểm 8,5",Rất tốt,37,Hà Nội
Bonjour D'An Nam Hotel,VND 1.380.000,"Đạt điểm 8,7",Tuyệt vời,338,Hà Nội
Maison d'Hanoi Hotel,VND 648.000,"Đạt điểm 7,7",Tốt,215,Hà Nội
Sophie hotel,VND 598.000,"Đạt điểm 7,6",Tốt,583,Hà Nội
Vitamin Home Hoàn Kiếm 35,VND 990.000,"Đạt điểm 8,1",Rất tốt,174,Hà Nội
Amica Premier Hotel and Travel,VND 1.198.800,"Đạt điểm 9,0",Tuyệt hảo,38,Hà Nội
Hanoi Paradise Center Hotel & Spa,VND 2.016.129,"Đạt điểm 9,1",Tuyệt hảo,4.761,Hà Nội
Nice room located right next to the Old Quarter Căn phòng nhiều ánh sáng tại ngay gần phố đi bộ Hồ Gươm,VND 1.110.000,"Đạt điểm 9,2",Tuyệt hảo,99,Hà Nội
Sena Boutique Hotel & Travel,VND 1.344.600,"Đạt điểm 8,9",Tuyệt vời,438,Hà Nội
Grandma Lu's Saigon Signature,VND 535.200,"Đạt điểm 8,3",Rất tốt,98,TP. Hồ Chí Minh
Haven Hut Dawn Hotel,VND 707.256,"Đạt điểm 8,6",Tuyệt vời,228,TP. Hồ Chí Minh
Ehome Saigon - Gạo Hostel,VND 266.600,Đạt điểm 10,Xuất sắc,15,TP. Hồ Chí Minh
Ben Thanh Inn - M&A,VND 889.461,"Đạt điểm 9,6",Xuất sắc,30,TP. Hồ Chí Minh
La Casa Di Dicembre HCMC,VND 646.000,"Đạt điểm 9,0",Tuyệt hảo,87,TP. Hồ Chí Minh
TRIP HOME-stay & studio,VND 764.235,"Đạt điểm 8,9",Tuyệt vời,30,TP. Hồ Chí Minh
Vy Da Backpacker Hostel,VND 160.000,"Đạt điểm 8,0",Rất tốt,611,TP. Hồ Chí Minh
BIG Hotel Sài Gòn,VND 686.967,"Đạt điểm 8,7",Tuyệt vời,19,TP. Hồ Chí Minh
Taibo house 2,VND 630.000,"Đạt điểm 8,2",Rất tốt,23,TP. Hồ Chí Minh
LUMIÈRE Riverside INFINITY POOL,VND 21.285.000,Xuất sắc 10,Xuất sắc 10,None,TP. Hồ Chí Minh
LalaHouse Riverside Residence,VND 850.500,"Đạt điểm 9,3",Tuyệt hảo,12,TP. Hồ Chí Minh
CROWNE BUI VIEN Hotel,VND 635.888,"Đạt điểm 7,7",Tốt,564,TP. Hồ Chí Minh
Viet Ha Hotel,VND 1.058.400,"Đạt điểm 8,7",Tuyệt vời,156,TP. Hồ Chí Minh
Lotus Hotel Nguyễn Phi Khanh Q1,VND 855.000,"Đạt điểm 8,6",Tuyệt vời,9,TP. Hồ Chí Minh
Huazhu Capsule Hotel,VND 510.000,None,None,None,TP. Hồ Chí Minh
Olala Saigon Apartment - Rivergate Residence,VND 1.440.000,"Đạt điểm 9,1",Tuyệt hảo,273,TP. Hồ Chí Minh
Elegant Feel Inn - M&A,VND 1.081.438,"Đạt điểm 8,8",Tuyệt vời,87,TP. Hồ Chí Minh
LalaHouse Summer Park,VND 1.095.842,"Đạt điểm 8,7",Tuyệt vời,12,TP. Hồ Chí Minh
Thanhha Guesthouse At Bui Vien Walking Street,VND 819.000,"Đạt điểm 8,7",Tuyệt vời,12,TP. Hồ Chí Minh
Khách sạn Minh Châu - Điện Biên Phủ,VND 700.000,"Đạt điểm 8,0",Rất tốt,35,TP. Hồ Chí Minh
Sai Gon Hotel Bui Vien Walking Street,VND 1.028.703,"Đạt điểm 7,7",Tốt,747,TP. Hồ Chí Minh
Luxury Duplex 5 bedrooms and Garden in RiverSide Complex,VND 23.200.000,None,None,None,TP. Hồ Chí Minh
RosaMAY Hotel Thủ Khoa Huân,VND 1.351.080,"Đạt điểm 8,0",Rất tốt,117,TP. Hồ Chí Minh
9 Hostel and Bar,VND 301.340,"Đạt điểm 8,1",Rất tốt,2.114,TP. Hồ Chí Minh
Saigonnais Homestay (Maison de Tran Le),VND 596.000,"Đạt điểm 9,1",Tuyệt hảo,293,TP. Hồ Chí Minh
Labar Hotel Saigon,VND 1.752.750,"Đạt điểm 8,5",Rất tốt,397,TP. Hồ Chí Minh
Jan Hostel Central Point,VND 1.160.000,"Đạt điểm 9,0",Tuyệt hảo,1.954,TP. Hồ Chí Minh
Góc Hải Phòng Homestay Q4,VND 720.000,"Đạt điểm 9,6",Xuất sắc,83,TP. Hồ Chí Minh
Walhalla Hotel Saigon,VND 1.425.600,"Đạt điểm 8,3",Rất tốt,157,TP. Hồ Chí Minh
VY DA CENTRAL MARKET HOSTEL,VND 240.000,"Đạt điểm 8,7",Tuyệt vời,1.231,TP. Hồ Chí Minh
Grand Lee Hotel,VND 919.769,"Đạt điểm 8,6",Tuyệt vời,1.057,TP. Hồ Chí Minh
Van Hung,VND 290.000,"Đạt điểm 8,3",Rất tốt,397,TP. Hồ Chí Minh
Ya Hotel,VND 976.819,"Đạt điểm 7,8",Tốt,36,TP. Hồ Chí Minh
INDO Serviced Apartment,VND 1.120.000,"Đạt điểm 8,4",Rất tốt,481,TP. Hồ Chí Minh
Le'Parc SaiGon,VND 1.299.600,"Đạt điểm 8,5",Rất tốt,237,TP. Hồ Chí Minh
Journey Sai Gon Bui Vien Walking Street,VND 1.053.916,"Đạt điểm 8,7",Tuyệt vời,63,TP. Hồ Chí Minh
Bonita Signature The View,VND 1.134.000,"Đạt điểm 7,7",Tốt,290,TP. Hồ Chí Minh
Queen Hotel Saigon Airport,VND 900.000,"Đạt điểm 7,8",Tốt,22,TP. Hồ Chí Minh
Shogun Hotel,VND 1.000.000,"Đạt điểm 9,0",Tuyệt hảo,321,TP. Hồ Chí Minh
Base Backpackers,VND 270.000,"Đạt điểm 8,5",Rất tốt,156,TP. Hồ Chí Minh
HANZ SEN Hotel,VND 797.924,"Đạt điểm 1,0",Điểm đánh giá,1,TP. Hồ Chí Minh
Camelia 108 Le Lai Hotel,VND 1.125.000,"Đạt điểm 8,3",Rất tốt,554,TP. Hồ Chí Minh
Galaxy Boutique Sai Gon Central Hotel,VND 979.200,"Đạt điểm 8,0",Rất tốt,851,TP. Hồ Chí Minh
Grandma Lu's Saigon - Hawaii,VND 223.200,"Đạt điểm 8,1",Rất tốt,124,TP. Hồ Chí Minh
Cola's Homestay,VND 930.240,"Đạt điểm 8,9",Tuyệt vời,473,TP. Hồ Chí Minh
Nicecy Hotel - Bui Thi Xuan Street,VND 1.829.320,"Đạt điểm 8,0",Rất tốt,494,TP. Hồ Chí Minh
"T Zone Hostel - Quiet Place, Near China Town,Ho Thi Ky Street Food,Cafe,Beer",VND 260.000,"Đạt điểm 9,6",Xuất sắc,454,TP. Hồ Chí Minh
Cozy Inn Near BuiVien Street,VND 905.616,"Đạt điểm 8,2",Rất tốt,4,TP. Hồ Chí Minh
HANZ The Vivian Hotel,VND 963.092,"Đạt điểm 9,3",Tuyệt hảo,3,TP. Hồ Chí Minh
ENSO Retreat Hoi An,VND 2.592.000,"Đạt điểm 9,8",Xuất sắc,558,Hội An
New World Hoiana Beach Resort,VND 7.983.360,"Đạt điểm 9,4",Tuyệt hảo,108,Hội An
Co Villas,VND 1.078.480,"Đạt điểm 9,1",Tuyệt hảo,340,Hội An
Longan Homestay,VND 600.000,"Đạt điểm 8,8",Tuyệt vời,309,Hội An
Harmony Old Town Hostel and Pool Bar,VND 230.000,"Đạt điểm 8,7",Tuyệt vời,136,Hội An
Coco Village Homestay Hoi An,VND 420.000,"Đạt điểm 9,0",Tuyệt hảo,166,Hội An
Nguyen Duy homestay,VND 500.000,"Đạt điểm 9,5",Xuất sắc,104,Hội An
Phuc Bao Center Local Homestay - 3 mins walk to Old Town,VND 600.000,"Đạt điểm 8,9",Tuyệt vời,203,Hội An
Kiman Old Town Hotel,VND 491.040,"Đạt điểm 8,4",Rất tốt,181,Hội An
PaPa Villa Homestay,VND 579.600,"Đạt điểm 9,8",Xuất sắc,473,Hội An
Coconut Garden Homestay,VND 528.000,"Đạt điểm 9,5",Xuất sắc,93,Hội An
Dom Hostel and Bar,VND 209.000,"Đạt điểm 9,2",Tuyệt hảo,598,Hội An
Lagoon homestay and Hostel in Hoian,VND 475.000,"Đạt điểm 9,3",Tuyệt hảo,141,Hội An
Coral Riverside Homestay & Hostel,VND 450.000,"Đạt điểm 9,5",Xuất sắc,186,Hội An
iHome Hoi An,VND 630.000,"Đạt điểm 9,2",Tuyệt hảo,1.473,Hội An
Xanh Lá Homestay Hội An,VND 669.600,"Đạt điểm 9,3",Tuyệt hảo,231,Hội An
La Silk Riverside Hoi An Hotel & Spa,VND 1.683.000,"Đạt điểm 9,9",Xuất sắc,156,Hội An
BS Jade Home Hội An,VND 1.233.000,"Đạt điểm 9,6",Xuất sắc,31,Hội An
Sunkised Paddy Hoi An Villa,VND 1.340.000,"Đạt điểm 9,2",Tuyệt hảo,131,Hội An
Hoi An Ocean Front Hotel,VND 1.655.403,"Đạt điểm 9,0",Tuyệt hảo,358,Hội An
Hoian Old Town Hostel,VND 468.000,"Đạt điểm 9,3",Tuyệt hảo,22,Hội An
Viet Long Hoian Beach Hotel - STAY 24H,VND 983.535,"Đạt điểm 8,6",Tuyệt vời,631,Hội An
Good Morning Hoi An Homestay and Hostel,VND 673.196,"Đạt điểm 9,6",Xuất sắc,52,Hội An
Hoi An Golden Holiday Hotel & Spa,VND 2.120.000,"Đạt điểm 9,8",Xuất sắc,2.849,Hội An
HY Local Budget Hotel by Hoianese - 5 mins walk to Hoi An Ancient Town,VND 209.000,"Đạt điểm 9,1",Tuyệt hảo,1.131,Hội An
HA Royal Boutique Hotel,VND 1.449.000,"Đạt điểm 9,6",Xuất sắc,75,Hội An
Flower Villa,VND 974.160,"Đạt điểm 9,0",Tuyệt hảo,70,Hội An
RAON Boutique Villa,VND 1.005.100,"Đạt điểm 8,7",Tuyệt vời,253,Hội An
RAON Hoi An - STAY 24H,VND 1.047.375,"Đạt điểm 8,8",Tuyệt vời,343,Hội An
Blooms Boutique Village,VND 1.288.056,"Đạt điểm 9,2",Tuyệt hảo,1.226,Hội An
Chiều Hạ Village - Spirit of Riverside,VND 970.380,"Đạt điểm 9,3",Tuyệt hảo,69,Hội An
An Na Bình Homestay,VND 665.000,"Đạt điểm 9,6",Xuất sắc,42,Hội An
Hoi An Odyssey Hotel & Spa,VND 1.700.000,"Đạt điểm 9,3",Tuyệt hảo,1.849,Hội An
Fivitel Hoi An Hotel,VND 2.010.000,"Đạt điểm 8,5",Rất tốt,677,Hội An
