name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Quán Cơm Tấm Hoàng Gia Food,"100 Nguyễn Thị Minh Khai, P, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","4,0",68,12.6863748,107.9684193,Đắk Lắk,Nhà hàng ăn nhanh,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMAiXQon6LjNWiNtXe7sYkfk5ERi8XYa28-JbQo, https://lh5.googleusercontent.com/p/AF1QipN_ABYeQsdMW32tySdOomisR0mVE1mKlyj4GhVD, https://lh5.googleusercontent.com/p/AF1QipMByzPkxIEoFQFnGEUquZEOLTCTtAsx3jSkWuWX, https://lh5.googleusercontent.com/p/AF1QipN-mmDXRiQuRQEbD2LYpoUzTAuxlTYIvGXuNnxj, "
DÊ HƯƠNG SƠN 47 Cao Thắng,"47 Cao Thắng, Tân An, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","4,3",282,12.6975057,107.9952561,Đắk Lắk,Nhà hàng,₫₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPhIK-DKRC9wPAs6BoboIu7WBv3Om0RdvUeRYe_, https://lh5.googleusercontent.com/p/AF1QipNiWI3-rATk_fo3hVTvDxHTVqLV_XVQb_eg6qIV, https://lh5.googleusercontent.com/p/AF1QipPTnsHBiL9LlLn6wR9cWMbbYJzf00Mm9Nmn4v3P, https://lh5.googleusercontent.com/p/AF1QipPi1yAI1DqtuucSAIRBOOMuof2GiIUncRVlvgBN, "
Kimnana Food BBQ,"172 Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,4",371,12.6853489,107.9715118,Đắk Lắk,Nhà hàng món nướng Hàn Quốc,₫₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPf0CAC5zqvG_nJSDOM3IEpHXz-q6Dbv_NwnSYf, https://lh5.googleusercontent.com/p/AF1QipNAC0obuFLhcnWeK3sedqTpDIT62UmdldBqsaXe, https://lh5.googleusercontent.com/p/AF1QipPXQqn1Z27Nt5N7Rc3Q_7sfQVYoImsgxxJ8rIg3, https://lh5.googleusercontent.com/p/AF1QipPXF3JP3QhF7m9YZEMpVBGYVLraNm8itrTTAD61, "
Quán ăn 361 (Cây đa),"361 Nguyễn Văn Cừ, Tân Lập, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,3",9,12.684269,108.0040323,Đắk Lắk,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipNBMQJ1q_sn3VKk780qAwFuTF4P9e1j4_gM4AIg, https://lh5.googleusercontent.com/p/AF1QipNBMQJ1q_sn3VKk780qAwFuTF4P9e1j4_gM4AIg, https://lh5.googleusercontent.com/p/AF1QipOD3vexPYjmJ6iY62BLX6fH7w7psM4-FCqCJf8C, "
Quán Cơm Gia Đình,"21 Nguyễn Văn Trỗi, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,8",4,12.684269,107.9422342,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Ăn Vặt Leo BMT,"Hẻm 48 Hùng Vương, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",241,12.679883,107.9766882,Đắk Lắk,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNCM78oVepPnz6EkTmKVQiVPhfBLW0iWetplDWW, https://lh5.googleusercontent.com/p/AF1QipNxNIp_nmQJNO0KZydjPz_AHUd8AM5J0O2nYyTR, https://lh5.googleusercontent.com/p/AF1QipPAbpRFS7z9rUD4poX3euEcUmHyFxwUvYoe5Z_S, "
Bo Đàn Quán,"194/25, 25 Nguyễn Lương Bằng, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,4",130,12.6650409,108.0254004,Đắk Lắk,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNnBmNgEc_XKjcFTz_ccBbJeKw75kAoBhIhfjcf, https://lh5.googleusercontent.com/p/AF1QipMkTvx_-WgwgBxkh9qLFJj6ZlA2Z45clChFoFDt, https://lh5.googleusercontent.com/p/AF1QipPvXCAEoBo8a0FBTN0gtszaSL411C6aDzX1umB0, https://lh5.googleusercontent.com/p/AF1QipPngxHYHPBOP0PDXn4hxArolNAJfBAf49BuJkcA, "
Nhà Hàng Cá Lăng Phương Dung,"126 Thôn 7 Xã Hòa Phú, Buôn Ma Thuột, Đắk Lắk 630000, Việt Nam","4,1",189,12.6202191,107.8781277,Đắk Lắk,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMsgaNEYDWmTM2M0rw7i1b03aA4OxGbiwauIS9U, https://lh5.googleusercontent.com/p/AF1QipOz4h2Ogbq5oESaAbzXbK1j8mQ8zUdyTqcv7LK1, https://lh5.googleusercontent.com/p/AF1QipNZrCQWULPO-pHodCBvBE7Pbk4P_Hs7bG12ZsbP, https://lh5.googleusercontent.com/p/AF1QipOnmmQ8Ni3_N9JbM3QrioB9zMp6Elpir6iyVMj-, "
Quán ăn,"A7 Nguyễn Chí Thanh, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,0",1,12.6974239,107.9993387,Đắk Lắk,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipNAjyRImeocXZuhMPPi8yTFLLev0Rpl0rGCcux0, https://lh5.googleusercontent.com/p/AF1QipOo2yCYIpP800hPX7-EMuPTGQu15LIRBWhQoqpf, "
Quán Ăn Hàn Quốc Korean BBQ,"63-65 Trần Bình Trọng, Thành Công, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",82,12.6974239,107.9375406,Đắk Lắk,Nhà hàng món nướng Hàn Quốc,300-400 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipNS2mboXDq-5PeoMJkZyq5aU6cZVVV3IYI3FjyT, https://lh5.googleusercontent.com/p/AF1QipPZPzGLDo7VkYIVVoTtqvb7Ilr8PkuFEP8FlAcj, https://lh5.googleusercontent.com/p/AF1QipPUKLUFdzLy4PKRf3Y3YOUbIZlFyEr1_yFpRxjx, https://lh5.googleusercontent.com/p/AF1QipM9chBplWoErIFjB0SBFfCbX14IEW7_QcxsdQ7u, "
Quán ăn chị Út,"256 Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,5",12,12.6876718,107.9715341,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipN0EXFFzE2X5hv0HOXy3JqHME_zHj7cNNNx_Miy, https://lh5.googleusercontent.com/p/AF1QipPRbua-tEsSQgIHzDXW1lXZn1SILOAspvjiGUbV, https://lh5.googleusercontent.com/p/AF1QipOzL1q_ZnqkzZlEeu5TokM9xviF2fEyWnsuXiJM, https://lh5.googleusercontent.com/p/AF1QipMj-RYu88aR6XsEuR3JYGypd18LEVigPb44XU8C, "
Bò nầm nướng sốt Nhà Khế,"37 Nguyễn Khuyến, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",50,12.694013,107.9754589,Đắk Lắk,Nhà hàng món nướng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipP2txyduTmklUUZ9h-Za4rNV0YhH2GEBl4KsNwq, https://lh5.googleusercontent.com/p/AF1QipPD58X_9vmvjK5z5pabJlndEo4GiywiQJ0Hko5g, https://lh5.googleusercontent.com/p/AF1QipNKjSySRHjpYWqqeRM65eTzph1Pc6-aXKOud1ef, https://lh5.googleusercontent.com/p/AF1QipMNxf7bJEHHRD2FjbK-asU3-tL2zoA6Y6abY1O_, "
Quán Nhậu Bình Dân,"323 Nguyễn Văn Cừ, Tân Lập, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,3",39,12.68488,108.0029045,Đắk Lắk,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipM2zk7618z7LDw9RZ08M1ZUxFqgS4OGB3Nzooui, https://lh5.googleusercontent.com/p/AF1QipPHob7Ipb18ZR-HJlPEAWf93-fKAonYKWS8lH6s, "
Cơm Niêu Hà Nội,"31 Trường Chinh, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",496,12.6886684,107.9837955,Đắk Lắk,Nhà hàng Việt Nam,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNmnNw6G4c1WmNxx3JGnOiATP66y_DzIsDq4pIN, https://lh5.googleusercontent.com/p/AF1QipN-RBunxdo-2aKE3cOlAjnFKUzddiLVeXdpwlIy, https://lh5.googleusercontent.com/p/AF1QipN5MmbY8CmCeOfAgnEzustqhIQaBPGbXxYb-xSA, https://lh5.googleusercontent.com/p/AF1QipNWM5RHM5wKiY9mvzo1Unx44E04-ZpyKDUJrUA, "
Nem Nướng ninh hòa Thanh Trầm,"22 Lý Thường Kiệt, Thống Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",266,12.6802638,107.9715517,Đắk Lắk,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipN5Y0M16xqgUGfpwovrghALLE8XADHbnATtRSyI, https://lh5.googleusercontent.com/p/AF1QipOZtusRIPkSH2YcTP5nCdBsdXXJZa_Y89uoP5tR, https://lh5.googleusercontent.com/p/AF1QipPrplfdAMuvedoxnnhhLbAdnhdsSlq5nTLF-lmb, https://lh5.googleusercontent.com/p/AF1QipPQfNcRiWcZI76gGyH7-33A_XV81Vv3ic02x5eb, "
