name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Cầu đi bộ Nguyễn Văn Trỗi,"Nguyễn Văn Trỗi Bridge, Bắc Mỹ Phú, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,5",198,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipN6yb1-bM9c93g3_Lyxg7GYR_z4wYz_kYO6Nw, https://lh5.googleusercontent.com/p/AF1QipMGIq74TBLVgsKlydtoK_xffvRWzDMcittHZkqY, https://lh5.googleusercontent.com/p/AF1QipPefx3S13yOxNYf8K82Lm3DpSULjYGDDCYyO1uN, ",16.05108,108.22906
Du lịch Đà nẵng Hội an,"7 Lê Văn Thứ, Mân Thái, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",16,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMHbMz_AQXlMDnHy_5oPN8aOPz3HhkvrijRpY_T, https://lh5.googleusercontent.com/p/AF1QipO7J5EFe6-K0jZAk0x-2mCWUfRE3H39CDv1xCjC, https://lh5.googleusercontent.com/p/AF1QipM-vKuVAVofJ_Uahu7MLVMUTqQB5psScY03enZI, ",16.08523,108.24430
Giếng Trời,"Hoà Ninh, Hòa Vang, Đà Nẵng, Việt Nam","4,3",93,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMo0Nki9bwTx0SVss9np4IoSUwCJSRjVl5Thm52, https://lh5.googleusercontent.com/p/AF1QipNmCTrbu-ng8HkMfzP3tqVO5udVShr_jzjlCrZ0, https://lh5.googleusercontent.com/p/AF1QipO63DQvMgR10P-LQNgduUUavv5r44HqTNTlDqiC, ",16.03476,107.99092
Mũi Nghê,"Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,7",43,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOEv7PO3fD-zGqR47ybBkaRjLNTzlueHG88yt0F, https://lh5.googleusercontent.com/p/AF1QipO51AEg59YgEwhUJErvOGWee_e5awaAgwKWxXof, https://lh5.googleusercontent.com/p/AF1QipNDuR-7QwWbO4wicULzJCgLIKNRUwqd9q68GtQy, https://lh5.googleusercontent.com/p/AF1QipOaCfsreQZqnqT8R0SQorqb92cVBzx9nQaFM3gM, ",16.11862,108.33687
Suối Lương - Hai Van Park,"Suối Lương, Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng, Việt Nam","3,9",1.497,Đà Nẵng,None,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipORV5mppLCHTJxLDn5VJgZTCsqMKAMaHNffBJnA, https://lh5.googleusercontent.com/p/AF1QipM9PmGqNJKZgiutunanzkXv-DQ2MYmOnjyOWNzz, https://lh5.googleusercontent.com/p/AF1QipMgCjYKuCHD4ineqf7BjVjMhrK1EEf1V13f63QG, https://lh5.googleusercontent.com/p/AF1QipMiCZVYtJzQSyHlOycGDgHp75zEWys-yXfeMaPA, ",16.15662,108.10932
Cầu Sông Hàn,"36CG+RPX, Cầu Sông Hàn, An Hải, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",4.612,Đà Nẵng,Cầu,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPR0yFg71ydHaR3xXbbMApGnySOSmF5IBCXeWmc, https://lh5.googleusercontent.com/p/AF1QipNNEQgLykdK6vG-S5do2k_RtibZ53sVtn-B0E_u, https://lh5.googleusercontent.com/p/AF1QipNSnhPVL1V_QL6SUWKX6sUXulZA8_0eXqGwcjLg, https://lh5.googleusercontent.com/p/AF1QipOEsODI76z5z7oO25qkK9qVYsD9PmwczDSnocPC, ",16.07212,108.22685
Biển Mỹ Khê,"Võ Nguyên Giáp, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",10.597,Đà Nẵng,Điểm thu hút khách du lịch,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipPgpkvaWeKD9pejm2Org-oEx-SWXLyGH_qSUneu, https://lh5.googleusercontent.com/p/AF1QipNoGprN6nQx6QP78VsenUvjq2urgvoS8xzER_U8, https://lh5.googleusercontent.com/p/AF1QipNCifcir2BliICeUskXqN8S7jWMG_SD40wCCBz9, https://lh5.googleusercontent.com/p/AF1QipNTxJo1jRBhrG-jJTxh01e7dyEyWqsl42SLO2TU, ",16.06432,108.24655
Công viên Kỳ Quan,"01 Lê Văn Duyệt, Nại Hiên Đông, Sơn Trà, Đà Nẵng 590000, Việt Nam","4,4",1.098,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipP-lPLE2xfgH0ZSvjQXvlpwHxK08qNEENqlZFfJ, https://lh5.googleusercontent.com/p/AF1QipNxXtav5B5tYFMmwdv1ITmOtBTyNp1q3zGXdRsU, https://lh5.googleusercontent.com/p/AF1QipNFAp3pCL5q-ClGuqlwhcHfT4QARN3YYV_Q4vdH, https://lh5.googleusercontent.com/p/AF1QipPQhzwh5-psJ7soIAzSTlIBp1u620fu-YpQu0zP, ",16.09882,108.22441
Lễ Hội Pháo Hoa Quốc Tế Đà Nẵng 2023,"Đ. Trần Hưng Đạo, Nại Hiên Đông, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,7",28,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipO46xqBa42vQj1tujeUwHrOOalykwsMNzjxDBG5, https://lh5.googleusercontent.com/p/AF1QipOY0n6nhJq2846KYCCiMiYABR4YwtGvJWTCy19u, ",16.08261,108.22868
Bảo tàng Đà Nẵng,"24 Trần Phú, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,0",1.936,Đà Nẵng,Bảo tàng lịch sử,"0,79 US$",,"https://lh5.googleusercontent.com/p/AF1QipOYN3XIgJ6KheNrpDdnK0ffkoZZ9fkWG2wCzkE6, https://lh5.googleusercontent.com/p/AF1QipNPoKONbsUNxUdbe4ZYybVZDnBR0Xu3YtWdtHVR, https://lh5.googleusercontent.com/p/AF1QipOOQKtxm2N8aEcs4INBuJ1fX67m1mZiVRKfq1lE, https://lh5.googleusercontent.com/p/AF1QipN9P73KyW2H-HB52ZAW1t0lCC00uuaSaWYigo0F, ",16.07645,108.22149
