name,address,score,reviews count,province,category,price,discount,services,description images,latitude,longitude
Lacasa Homestay,"Kiệt 17 Trần Phú, An Cựu, Huế, Thừa Thiên Huế 530000, Việt Nam","4,3",84,Thừa Thiên Huế,Khách sạn,389.350 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMt_SND_JVJKIbGcbTPdDYRujhytVgRSuxz1dV1, https://lh5.googleusercontent.com/p/AF1QipPOEVwiZrtELuYRDAJp6gp4czef2vkSDiBL3T_c, https://lh5.googleusercontent.com/p/AF1QipM3PJBMY_bdYvnIFFB3qtLOkBFfL3l65NOpMjU1, https://lh5.googleusercontent.com/p/AF1QipOfoci1dAeD2jZ-o2w-I29sCSR0xyU1tGMdgIo, ",16.45551,107.59240
Na Hostel Hue,"Tầng 2, 69 Võ Thị Sáu, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","4,1",15,Thừa Thiên Huế,Khách sạn,298.983 ₫,Ít hơn 35% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMplMjFzRWmlXLZFnyB7SWEjZMPfrJonProAjQ6, https://lh5.googleusercontent.com/p/AF1QipNmhqcdVENxrVGOhuqXjZEaYsPkYZB_Z8R_8ffM, https://lh5.googleusercontent.com/p/AF1QipORaaO7bACkjlRpuYSelH40S-tHfdxiqN7E9hS4, https://lh5.googleusercontent.com/p/AF1QipM3rpJV4ajJ21ltAsyV8q7YPhpEfQeKF-rJUquJ, ",16.47080,107.59608
The Purple Hue BnB_Central Hub,"56 Nguyễn Tri Phương, Phú Hội, Huế, Thừa Thiên Huế 53000, Việt Nam","4,8",294,Thừa Thiên Huế,Khách sạn,341.232 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNSYVE8O312T4XGfRgu5z3IFWJEy73BQ-di5iU2, https://lh5.googleusercontent.com/p/AF1QipM7yC6r_NWF7y4mcqZ9sRW3Sik9DwqBZZF9vqlI, https://lh5.googleusercontent.com/p/AF1QipNUu1h7kfoFMqb9oG75Rc5W-cZsroEQ8RkQb71P, https://lh5.googleusercontent.com/p/AF1QipOg_mjzIoXRJ7yD_7uGbrFYC_W32wo7LZ1OIrDF, ",16.46585,107.59422
Huế Thơ Homestay,"29 Đ. Ông Ích Khiêm, Thuận Hoà, Huế, Thừa Thiên Huế 530000, Việt Nam","4,9",14,Thừa Thiên Huế,Khách sạn,268.746 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNBm9F5FapMizj1DOHnomfONcnY0saE5FEJDzcu, https://lh5.googleusercontent.com/p/AF1QipOvWJ7MkaPpAfBPNRdkBsnUqYngnOq0l17IJ8e0, https://lh5.googleusercontent.com/p/AF1QipPBxszNjLEIVO1Dtak5CRkKy47Kzz4XB6dGbevh, https://lh5.googleusercontent.com/p/AF1QipNPfP7utZbi615ttOMIou19iw4w5spdT3WQr-AN, ",16.46320,107.57281
Khách sạn Đạt Anh,"01 Đào Trinh Nhất, Vỹ Dạ, Huế, Thừa Thiên Huế, Việt Nam","4,2",177,Thừa Thiên Huế,Khách sạn 3 sao,375.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Dịch vụ phòng, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipMdicsrswTMl5OAJnyoUkW2ktmU6q61KnEfInYn, https://lh5.googleusercontent.com/p/AF1QipP54ym8-jlr1hQcpe2FF9cLsBmE9vwD2KRqj40b, https://lh5.googleusercontent.com/p/AF1QipOuchm8APS5Fp0L5s8C9XJwVIs1qty9JU1Nd83O, https://lh5.googleusercontent.com/p/AF1QipM43JYivqMX39PNf0SiKsd7o11IHXScK-y_rs2A, ",16.47477,107.60248
PARADIES HOMESTAY & VILLA,"12 Cao Xuân Huy, Vỹ Dạ, Huế, Thừa Thiên Huế, Việt Nam","4,9",38,Thừa Thiên Huế,Khách sạn,292.721 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipO1VJRdqTaGoNsSl75aILo5FKP_AMTUMzaFa9SH, https://lh5.googleusercontent.com/p/AF1QipP8V5gRBHSvAaj7_NlCk8o0elO2w0Hb0K0zQvzU, https://lh5.googleusercontent.com/p/AF1QipOcqCZcaWv4FU06pp_FhkceL1dPZa71TAo4zSp6, https://lh5.googleusercontent.com/p/AF1QipO1VJRdqTaGoNsSl75aILo5FKP_AMTUMzaFa9SH, ",16.48383,107.59927
Khách sạn Đồng Dao,"385 Phạm Văn Đồng, Phú Thượng, Phú Vang, Thừa Thiên Huế 536807, Việt Nam","4,0",49,Thừa Thiên Huế,Khách sạn,279.818 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipOtfWkKABntq1n1uR-qFCl4axd-WFfTN6idwXgs, https://lh5.googleusercontent.com/p/AF1QipMcz6RNYl75Np0M2bykwqkbo_1jmHwmzFsg7F58, https://lh5.googleusercontent.com/p/AF1QipNbesF00UVEGUvBI_xeXDg0V-PZB-iAyvFHZ3-_, https://lh5.googleusercontent.com/p/AF1QipOOvRlly8Du5pukfeotSgorXU6AYBD5oPbcw6h9, ",16.49172,107.60224
Vina Hotel Hue,"3A/57 Nguyễn Công Trứ, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,3",60,Thừa Thiên Huế,Khách sạn 3 sao,415.362 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipNbmfHhHQVHKsI8bnPJ60DL_s8PTxdosd6P3fNX, https://lh5.googleusercontent.com/p/AF1QipPGGZTrbJfsdrRAdWBsxn4VXa01TAHLkYRC2pqd, https://lh5.googleusercontent.com/p/AF1QipP3eKmP7opRdx7yAtOkpDhTburOLo_MPBDKubNb, https://lh5.googleusercontent.com/p/AF1QipP7jE7mbQh_K6_q4fo_bQadbeITTl4Ab70PoTJX, ",16.47154,107.59807
Hai Nguyet Motel,"7/156 Phan Chu Trinh, An Cựu, Huế, Thừa Thiên Huế 530000, Việt Nam","4,6",43,Thừa Thiên Huế,Khách sạn 2 sao,324.093 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNvfsdvohDy4PiYuGkicH55NHKpvInt6NijoIc5, https://lh5.googleusercontent.com/p/AF1QipNKUA74ND3_DXN-VYHF-cm1JBv0YCZxgS9Qil5E, https://lh5.googleusercontent.com/p/AF1QipMUExgGGOWevjsaAiRRXEXTk9d3FDwPXhj0WBhB, https://lh5.googleusercontent.com/p/AF1QipPXy8goVD_nbjaQm481x1z55kmpixAWo3eCSgHX, ",16.45522,107.58786
Khách sạn Ngọc Bình,"34 Nguyễn Tri Phương, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,2",190,Thừa Thiên Huế,Khách sạn 1 sao,240.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPzs4Jjo3tExYoZ0Ru8jqzF59iwxfGRfw41BAPh, https://lh5.googleusercontent.com/p/AF1QipP6XxUUOuvkkwPKvB2VyaVAbVKbmWEGbVIBwFY, https://lh5.googleusercontent.com/p/AF1QipPujEHqJG2imHudURnWIqCZj4PR6NtGGTT1f--x, https://lh5.googleusercontent.com/p/AF1QipP9jj6o445frP8LcZvfAqERMnSMIWKQQ_Xrvce6, ",16.46436,107.59279
