name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Sky View Restaurant,"216 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,8",572,Đà Nẵng,Nhà hàng cao cấp,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipMY5-ZRwOoX7N-zZ3VAs7bCPxEaggNvEYs6MMSR, https://lh5.googleusercontent.com/p/AF1QipM5XxJ0ITVOI72O4KL4wUK3uVAyxKA2T18N8cJA, https://lh5.googleusercontent.com/p/AF1QipOaJcamxBM5Ii5piG4Jq3n3YNGBTCh56964qopD, https://lh5.googleusercontent.com/p/AF1QipPysIYyGOZ8q9EO5OWWPDfFeQ8lhyxQKV11gxIj, ",16.06761,108.24478
Ẩm Thực Năm Hiền - Bánh Xèo Tôm Nhảy,"46 Phan Thanh, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam","4,0",815,Đà Nẵng,Nhà hàng Việt Nam,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, ","https://lh5.googleusercontent.com/p/AF1QipNYPmenuX2o75XsaHZHf-9miDcJYW1IuW_6j2Wy, https://lh5.googleusercontent.com/p/AF1QipNz1Grv5KcvenT8f0NtayrFnxBp-Ssp7g16Lkiz, https://lh5.googleusercontent.com/p/AF1QipOrj795SeK--hp-nd51aU09URPLiuWhTYFldAn4, https://lh5.googleusercontent.com/p/AF1QipN_FY-suqq9e05Zg8go2K3P3rR2y1_cRNwruk0R, ",16.06469,108.20793
Nhà Hàng Biển Việt,"64 An Thượng 26, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,8",1.705,Đà Nẵng,Nhà hàng hải sản,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPE9OePQgGpHGatNJqXrXQXYOajBQ1KMxHZT1CH, https://lh5.googleusercontent.com/p/AF1QipNxYITFe4ocLdoGIILFBM13R46QAMuuxTZJGBCs, https://lh5.googleusercontent.com/p/AF1QipNIa3wcOk1FX0OxbRxlvJMEZAb7Oa0FZIxl2RXq, https://lh5.googleusercontent.com/p/AF1QipMXM6pADl1T6_1MdJoHJATnRv_fSRs_Esav3-wz, ",16.05539,108.24571
Cao Lầu Hoài Phố,"255 Nguyễn Chí Thanh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,2",109,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPPNey1_uuKWeg_HOt34iZCTjyKN8MZBsRnhw6y, https://lh5.googleusercontent.com/p/AF1QipPFBZbItx2nEZ4VZncz4wvM7nGVXi_aRSrycZwd, https://lh5.googleusercontent.com/p/AF1QipP--WxgPA9BLNhxRl9lme_NrDbRq4j7N5c6D4vJ, https://lh5.googleusercontent.com/p/AF1QipP--WxgPA9BLNhxRl9lme_NrDbRq4j7N5c6D4vJ, ",16.06610,108.22090
Nhà Hàng Bếp Xưa,"27 Nguyễn Chí Thanh, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,5",325,Đà Nẵng,Nhà hàng gia đình,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMZekb7BaFRcGTf67wDnXCbX5GvcUaJZ9chs7a-, https://lh5.googleusercontent.com/p/AF1QipM1jsF8uJjIcIjlhAXwdLBzwlgJbxWQyDL1s2zt, https://lh5.googleusercontent.com/p/AF1QipNMtI8yZWkilwJCkuSzV8C2XHHRKYj9DwYcB3F-, https://lh5.googleusercontent.com/p/AF1QipNrpaMsdRu8_uIszmTwAWN4yvQQpJbPoZTa_QF-, ",16.07916,108.22026
NGƯ PHỐ - Chả Cá Hà Nội tại Đà Nẵng,"219 Trần Phú, Phước Ninh, Hải Châu, Đà Nẵng 55000, Việt Nam","4,3",175,Đà Nẵng,Nhà hàng Việt Nam,100-200 N ₫,"Ăn tại chỗ, Nhận hàng ở lề đường, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOtHP6fMkxch17Xi54C6ld42EP_5azN41p4pvZm, https://lh5.googleusercontent.com/p/AF1QipNnwlowfjAqWEtCMXcw7MSo3qd2IUe6u9gCAUqE, https://lh5.googleusercontent.com/p/AF1QipNFy1tAWgH3gpxV1OckyuF7_8G3KNjBhl5ak-0, https://lh5.googleusercontent.com/p/AF1QipOb0iUJuFhIzoDh6Msiok-btKTRnMryasvOL_MF, ",16.06439,108.22372
Nhà hàng Làng Nghệ,"119 Lê Lợi, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,2",983,Đà Nẵng,Nhà hàng,100-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNmaPeuewPAN_7Dc1ZrfXyZJtIrmBKLiNylph57, https://lh5.googleusercontent.com/p/AF1QipO3_2VhJmar57zawhhqOYTxpVaSJkhffu7kqvMa, https://lh5.googleusercontent.com/p/AF1QipMnqmW01UGXKOZDwWFojh3yz7j15e9pG3kXQgh4, https://lh5.googleusercontent.com/p/AF1QipMLF1DqFGa4PcSE3XqLfOgYk_qw5jJFZolIdz40, ",16.07524,108.22000
Quán Cô Hồng - Gỏi Cá Nam Ô,"118 Huỳnh Thúc Kháng, Nam Dương, Hải Châu, Đà Nẵng 550000, Việt Nam","4,4",453,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPmqzGwBm9oLGixBH9bFULXvqLr52DhobPkXv7F, https://lh5.googleusercontent.com/p/AF1QipNUmn7cwHagpeO-pBon-cuxkfvGRBDP3FyuJ2W0, https://lh5.googleusercontent.com/p/AF1QipNLp5tt7-RRrpKwxfnXIkE6FsyIlMt3QpoVhnyv, https://lh5.googleusercontent.com/p/AF1QipM9vShpch-3srL358EeGPgzPolXLHWjo3oa8MoQ, ",16.05885,108.21811
Tiệm Ăn HK Vinh Hạnh,"92 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,4",149,Đà Nẵng,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Nhận hàng ở lề đường, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipM2sqbtT-UBguLBEu7_kIlqbarjZlv2nrrQx3jy, https://lh5.googleusercontent.com/p/AF1QipMwyQ4mCEtfJeykDKmJoBd7rAKM-gRmspGZSZA0, https://lh5.googleusercontent.com/p/AF1QipPS3cFM0vnqxEvhdEkQNDRsvRaRJKMJiND3goGd, https://lh5.googleusercontent.com/p/AF1QipP28DxBJK-coauB46_Kcf3l2LSzxt_hDqcaqLNe, ",16.06552,108.21996
Bún chả cá Bà Phiến (Bà Thừa),"63 Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,5",196,Đà Nẵng,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNCQ9KXYSr2vI3tczhW80uQR01Vjs5YtspGQnOU, https://lh5.googleusercontent.com/p/AF1QipPTrpU2s7wqhioELCpHmoc1FPExla4sUSy1ejqG, https://lh5.googleusercontent.com/p/AF1QipNU1K_DPivkhCLDeN4jEf99CQ4cKgUAbkd9NZZr, https://lh5.googleusercontent.com/p/AF1QipMdKZk6Kk9yuG2LGZvRe_gNreezj3pcpom6swXS, ",16.06402,108.22027
