name,address,score,reviews count,category,avg price,province,description images
Bầu Pizza Yên Bái,344 Thành Công,"3,9",22,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipODh6QRDf2hpP9BwRxA1eZGczZnbiL0WXpNA6uM, https://lh5.googleusercontent.com/p/AF1QipN3sbeowoUBfSyFll3aLjDAshxUvhJVSBf0ktl4, "
Chè Hương,238 Lê Hồng Phong,"4,2",103,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNazkDYx35BehKRUarZJUmsrcU29MAOo4tIYW8l, https://lh5.googleusercontent.com/p/AF1QipOvImDGzFmJ6DAGeOiqPiFVF-iKhCG-Kc7INPTu, "
Chè Hương,238 Lê Hồng Phong,"4,2",103,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNazkDYx35BehKRUarZJUmsrcU29MAOo4tIYW8l, https://lh5.googleusercontent.com/p/AF1QipOvImDGzFmJ6DAGeOiqPiFVF-iKhCG-Kc7INPTu, "
Nhà Hàng Gà Mạnh Hoạch,57 Nguyễn Đức Cảnh,"3,9",73,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPEysX9qmSPjaRn0JrdekPd4URW-SkfOFUQ4dw-, https://lh5.googleusercontent.com/p/AF1QipNEwUwFoDzKXgXKAtL1q5T78GLTQrBna-BAQWKl, "
Nhà hàng Phương Hân,PWF9+R85,"4,1",8,None,None,Yên Bái,
Nhà hàng Chiến Chim,194 Đường Quang Trung,"4,0",56,None,300.000-400.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMft0HJMI2l1b3cRrIV9tU-q9l3CNaXR-0GOLbz, https://lh5.googleusercontent.com/p/AF1QipMSp-PxL3d4D7RIOjwg5jfaByCKqT0niW3G5BED, "
Nhà Hàng SUNRISE,PW84+M9R,"4,1",59,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipN0sEeiClaReDKLkRaMQCTLNdCswotcl4BH6M4I, https://lh5.googleusercontent.com/p/AF1QipOCp6_pXmHjI7jbl8Gw9i3ebr4R_pCeEOWPRsrV, "
Nhà hàng Fuji Sushi,30 Minh Khai,"4,4",14,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNcpf7cQRESyYN_QaGqh1PZW31cHV-Lk9AlXAWK, https://lh5.googleusercontent.com/p/AF1QipPxvYwAM3N0msHTjPeehFo9FIbLZ-bC9cmBIGoq, "
Cơm Tình Anh,Đường Âu Cơ,"3,9",304,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNtftcCra8hLuPUxXeXChx0MPz1En6X3N8ayKls, https://lh5.googleusercontent.com/p/AF1QipOWoeOvYSWSQ_-ixf_vILO3u8FT46EQ3qcWmBmZ, "
Bia Cây Dừa,"PV7G+VQQ, Trần Bình Trọng","3,8",32,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPbfOhcc6ZJfj-eJZWBfRDx9ot1LuBaVop5L9dk, https://lh5.googleusercontent.com/p/AF1QipNgfcpKlKCaHLfW3O2ns6-JW0kn6XGXAjDxKzgA, "
